institution_id,name,type,state,city,url,accreditation_status,source,last_updated
254,FSW A.S. Paralegal,Paralegal Program,Florida,,https://www.fsw.edu/academics/programs/asparalegal,AAfPE Member,AAfPE,2025-12-26 18:45:30
255,Fayetteville Technical Community College Paralegal Technology,Paralegal Program,North Carolina,,https://www.faytechcc.edu/academics/business-programs/paralegal-technology/,AAfPE Member,AAfPE,2025-12-26 18:45:30
256,Florence-Darlington Technical College Paralegal,Paralegal Program,South Carolina,,https://www.fdtc.edu/academics/programs/paralegal/,AAfPE Member,AAfPE,2025-12-26 18:45:30
257,Florida State College at Jacksonville Paralegal Certificate,Paralegal Program,Florida,,https://www.fscj.edu/academics/programs/certs/4104,AAfPE Member,AAfPE,2025-12-26 18:45:30
258,Frederick Community College Paralegal,Paralegal Program,Maryland,,https://www.frederick.edu/programs/public-safety/paralegal.aspx,AAfPE Member,AAfPE,2025-12-26 18:45:30
259,Fremont University Legal Studies,Paralegal Program,Nebraska,,https://fremont.edu/programs/college-legal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
260,Front Range Community College,Paralegal Program,Colorado,,https://www.frontrange.edu/programs-courses/program-list/paralegal.html,AAfPE Member,AAfPE,2025-12-26 18:45:30
261,Fullerton College,Paralegal Program,California,,https://buscis.fullcoll.edu/paralegal/,AAfPE Member,AAfPE,2025-12-26 18:45:30
262,Gadsden State Community College,Paralegal Program,Alabama,,https://www.gadsdenstate.edu/programs-of-study/paralegal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
263,Generations College Paralegal Studies,Paralegal Program,Illinois,,https://www.generations.edu/academics/associates-degree-programs/paralegal-studies-major/,AAfPE Member,AAfPE,2025-12-26 18:45:30
264,George Washington University,Paralegal Program,Washington,,https://www.gwu.edu,AAfPE Member,AAfPE,2025-12-26 18:45:30
265,Georgia Piedmont Technical College Paralegal Studies,Paralegal Program,Georgia,,https://www.gptc.edu/programs/paralegal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
266,Grand Valley State University Paralegal,Paralegal Program,Michigan,,https://www.gvsu.edu/cj/certificate-in-paralegal-studies-172.htm,AAfPE Member,AAfPE,2025-12-26 18:45:30
267,Guilford Technical Community College Paralegal Technology,Paralegal Program,North Carolina,,https://www.gtcc.edu/academics/academic-programs/programs/business-programs/paralegal-technology.php,AAfPE Member,AAfPE,2025-12-26 18:45:30
268,Hamline University Online Paralegal Certificate,Paralegal Program,Minnesota,,https://www.hamline.edu/academics/graduate/online-paralegal-certificate,AAfPE Member,AAfPE,2025-12-26 18:45:30
269,Harford Community College Paralegal Studies,Paralegal Program,Maryland,,https://www.harford.edu/academics/credit-programs/programs/paralegal-studies.php,AAfPE Member,AAfPE,2025-12-26 18:45:30
270,Harrisburg Area Community College Paralegal Studies,Paralegal Program,Pennsylvania,,https://www.hacc.edu/ProgramsandCourses/paralegal-studies-5706.cfm,AAfPE Member,AAfPE,2025-12-26 18:45:30
271,Highline Community College Paralegal AAS,Paralegal Program,Washington,,https://legal.highline.edu/programs/paralegal-aas/,AAfPE Member,AAfPE,2025-12-26 18:45:30
272,Hillsborough Community College Paralegal Studies,Paralegal Program,Florida,,https://www.hccfl.edu/academics/subjects/law-criminal-justice-security/paralegal-studies,AAfPE Member,AAfPE,2025-12-26 18:45:30
273,Hofstra University Maurice A. Deane School of Law Paralegal Certificate,Paralegal Program,New York,,https://law.hofstra.edu/paralegal-certificate-program/,AAfPE Member,AAfPE,2025-12-26 18:45:30
274,Horry-Georgetown Technical College Paralegal,Paralegal Program,South Carolina,,https://www.hgtc.edu/academics/academic-departments/criminal-justice-paralegal-human-services/paralegal.html,AAfPE Member,AAfPE,2025-12-26 18:45:30
275,Husson University Paralegal Certificate,Paralegal Program,Maine,,https://catalog.husson.edu/collegeofbusiness/undergraduate/schooloflegalstudies/legalstudies/certparalegal/,AAfPE Member,AAfPE,2025-12-26 18:45:30
276,IUPUI Paralegal Studies,Paralegal Program,Indiana,,https://liberalarts.indianapolis.iu.edu/programs/paralegal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
277,Illinois Central College Legal Studies Certificate,Paralegal Program,Illinois,,https://icc.edu/programs/legal-studies-certificate/,AAfPE Member,AAfPE,2025-12-26 18:45:30
278,Illinois State University Legal Studies,Paralegal Program,Illinois,,https://illinoisstate.edu/academics/legal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
279,Inver Hills Community College Paralegal,Paralegal Program,Iowa,,https://www.inverhills.edu/degrees-programs/paralegal/,AAfPE Member,AAfPE,2025-12-26 18:45:30
280,Irvine Valley College,Paralegal Program,California,,https://www.ivc.edu/business/paralegal-studies,AAfPE Member,AAfPE,2025-12-26 18:45:30
281,Ivy Tech Community College – Central Indiana Paralegal Studies,Paralegal Program,Indiana,,https://www.ivytech.edu/central/programs/all-academic-programs/school-of-public-affairs-social-services/legal-paralegal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
282,Johnson County Community College Paralegal,Paralegal Program,Kansas,,https://www.jccc.edu/academics/credit/paralegal/,AAfPE Member,AAfPE,2025-12-26 18:45:30
283,Johnston Community College Paralegal Technology,Paralegal Program,North Carolina,,https://www.johnstoncc.edu/programs/paralegal-technology.php,AAfPE Member,AAfPE,2025-12-26 18:45:30
284,Kapi‘olani Community College BLT Legal,Paralegal Program,Hawaii,,https://www.kapiolani.hawaii.edu/programs/blt/legal/,AAfPE Member,AAfPE,2025-12-26 18:45:30
285,LSU Paralegal Studies,Paralegal Program,Louisiana,,https://ce.lsu.edu/paralegal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
286,LaGuardia Community College Paralegal Studies,Paralegal Program,New York,,https://www.laguardia.edu/majors/paralegal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
287,Lakeland Community College (see homepage),Paralegal Program,Wisconsin,,https://www.lakeland.edu,AAfPE Member,AAfPE,2025-12-26 18:45:30
288,Lakeshore Technical College Legal Studies/Paralegal,Paralegal Program,Wisconsin,,https://gotoltc.edu/programs-and-courses/career-areas/law-public-safety-security/legal-studiesparalegal,AAfPE Member,AAfPE,2025-12-26 18:45:30
289,Lehigh Carbon Community College Paralegal,Paralegal Program,Pennsylvania,,https://www.lccc.edu/academics/programs/paralegal/,AAfPE Member,AAfPE,2025-12-26 18:45:30
290,Lewis University Paralegal,Paralegal Program,Illinois,,https://www.lewisu.edu/academics/paralegal,AAfPE Member,AAfPE,2025-12-26 18:45:30
291,Lewis-Clark State College Paralegal,Paralegal Program,Idaho,,https://www.lcsc.edu/program-finder/paralegal,AAfPE Member,AAfPE,2025-12-26 18:45:30
292,Loyola University Chicago Paralegal Studies,Paralegal Program,Illinois,,https://www.luc.edu/paralegal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
293,Macomb Community College Paralegal,Paralegal Program,Michigan,,https://www.macomb.edu/programs-courses/programs/paralegal.html,AAfPE Member,AAfPE,2025-12-26 18:45:30
294,Madison College Paralegal Studies,Paralegal Program,Wisconsin,,https://madisoncollege.edu/academics/programs/paralegal,AAfPE Member,AAfPE,2025-12-26 18:45:30
295,Madonna University Paralegal Studies,Paralegal Program,Michigan,,https://www.madonna.edu/academics/programs/paralegal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
