institution_id,name,type,state,city,url,accreditation_status,source,last_updated
161,Stetson,Law School,,,https://www.stetson.edu/portal/law,ABA Approved (1930),ABA,2025-12-26 18:45:30
162,Suffolk,Law School,,,https://www.suffolk.edu/law,ABA Approved (1953),ABA,2025-12-26 18:45:30
163,Syracuse,Law School,,,https://law.syracuse.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
164,Temple,Law School,,,http://www.law.temple.edu,ABA Approved (1933),ABA,2025-12-26 18:45:30
165,Tennessee,Law School,,,http://www.law.utk.edu,ABA Approved (1925),ABA,2025-12-26 18:45:30
166,Texas,Law School,,,http://www.utexas.edu/law,ABA Approved (1923),ABA,2025-12-26 18:45:30
167,Texas A&M,Law School,,,https://law.tamu.edu,ABA Approved (1994),ABA,2025-12-26 18:45:30
168,Texas Southern,Law School,,,http://www.tsulaw.edu,ABA Approved (1949),ABA,2025-12-26 18:45:30
169,Texas Tech,Law School,,,http://www.law.ttu.edu,ABA Approved (1969),ABA,2025-12-26 18:45:30
170,The Ohio State,Law School,,,http://moritzlaw.osu.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
171,Toledo,Law School,,,https://www.utoledo.edu/law,ABA Approved (1939),ABA,2025-12-26 18:45:30
172,Touro,Law School,,,http://www.tourolaw.edu,ABA Approved (1983),ABA,2025-12-26 18:45:30
173,Tulane,Law School,,,http://www.law.tulane.edu,ABA Approved (1925),ABA,2025-12-26 18:45:30
174,Tulsa,Law School,,,http://www.utulsa.edu/law,ABA Approved (1950),ABA,2025-12-26 18:45:30
175,UNT Dallas,Law School,,,https://www.untdallas.edu/lawschool/index.php,ABA Approved (2017),ABA,2025-12-26 18:45:30
176,Utah,Law School,,,http://www.law.utah.edu,ABA Approved (1927),ABA,2025-12-26 18:45:30
177,Vanderbilt,Law School,,,http://www.vanderbilt.edu/law,ABA Approved (1925),ABA,2025-12-26 18:45:30
178,Vermont,Law School,,,http://www.vermontlaw.edu,ABA Approved (1975),ABA,2025-12-26 18:45:30
179,Villanova,Law School,,,http://www.law.villanova.edu,ABA Approved (1954),ABA,2025-12-26 18:45:30
180,Virginia,Law School,,,http://www.law.virginia.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
181,Wake Forest,Law School,,,http://www.law.wfu.edu,ABA Approved (1936),ABA,2025-12-26 18:45:30
182,Washburn,Law School,,,http://washburnlaw.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
183,Washington,Law School,,,http://www.law.washington.edu,ABA Approved (1924),ABA,2025-12-26 18:45:30
184,Washington University,Law School,,,http://law.wustl.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
185,Washington and Lee,Law School,,,https://law.wlu.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
186,Wayne State,Law School,,,http://www.law.wayne.edu,ABA Approved (1937),ABA,2025-12-26 18:45:30
187,West Virginia,Law School,,,https://www.law.wvu.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
188,Western New England,Law School,,,https://www1.wne.edu/law,ABA Approved (1974),ABA,2025-12-26 18:45:30
189,Widener-Commonwealth,Law School,Widener,Commonwealth,https://commonwealthlaw.widener.edu,ABA Approved (1988),ABA,2025-12-26 18:45:30
190,Widener-Delaware,Law School,Widener,Delaware,http://delawarelaw.widener.edu,ABA Approved (1975),ABA,2025-12-26 18:45:30
191,Willamette,Law School,,,http://willamette.edu/law/index.html,ABA Approved (1938),ABA,2025-12-26 18:45:30
192,William and Mary,Law School,,,http://law.wm.edu,ABA Approved (1932),ABA,2025-12-26 18:45:30
193,Wilmington +,Law School,,,https://law.wilmu.edu,ABA Approved (2025),ABA,2025-12-26 18:45:30
194,Wisconsin,Law School,,,http://www.law.wisc.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
195,Wyoming,Law School,,,http://www.uwyo.edu/law,ABA Approved (1923),ABA,2025-12-26 18:45:30
196,Yale,Law School,,,http://www.law.yale.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
197,Yeshiva,Law School,,,http://www.cardozo.yu.edu,ABA Approved (1978),ABA,2025-12-26 18:45:30
